model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
225 10148033642.1424 1.66268006523088 7.85234799347657 137.260281008083 101.67428222821 2.77387610825491 3.18136742457109 -0.500750359531495 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.49098177683595E+052 -5.42947960232629E+034 -5.3969057466382E+034 -3.25738556880933E+032 0 0 0 0 1 2
230 10190920486.8735 1.63720710956763 7.77194095920985 137.968488456522 102.198880338165 2.7454719734059 3.14879063101392 -0.492819450869711 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.48332840314421E+052 -5.8115513113811E+034 -5.77778249058322E+034 -3.37688207978767E+032 0 0 0 0 1 2
235 10230790577.8753 1.61213580536958 7.69239353092474 138.680023221663 102.725943127158 2.71737149811157 3.11656210557606 -0.484906313296679 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.47571779202345E+052 -6.21362671844642E+034 -6.17861969106315E+034 -3.5007027383273E+032 0 0 0 0 1 2
240 10267895835.6729 1.58745769611479 7.61368991629758 139.394956299291 103.25552318466 2.68956910366484 3.08467545002044 -0.476985222974684 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.46814908587532E+052 -6.63770042816822E+034 -6.60141032255048E+034 -3.62901056177368E+032 0 0 0 0 1 2
245 10302460244.3631 1.56316710032939 7.53582287592285 140.113283794826 103.787617625797 2.66206223271421 3.05312773131239 -0.469091606035439 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.46062223454927E+052 -7.08282299580515E+034 -7.04520327539405E+034 -3.76197204110973E+032 0 0 0 0 1 2
250 10334691753.8468 1.53925777828548 7.45878317905325 140.835020496608 104.322237404895 2.63484762445802 3.021915209628 -0.461206407707071 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.45313698925732E+052 -7.55068772682826E+034 -7.5116902815215E+034 -3.89974453067529E+032 0 0 0 0 1 2
255 10364775865.5747 1.51572211256572 7.38255689267282 141.560227347617 104.859427664902 2.60792035699772 2.99103224002602 -0.453319674385487 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.44569263204054E+052 -8.04270507246809E+034 -8.00227994776523E+034 -4.04251247028563E+032 0 0 0 0 1 2
260 10392879728.1832 1.49255429654996 7.30713566882282 142.288914850479 105.39919618554 2.58127748138056 2.96047544034305 -0.445437628638449 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.43828897621075E+052 -8.55941565630217E+034 -8.51751111224846E+034 -4.1904544053712E+032 0 0 0 0 1 2
265 10419155148.0388 1.46974731309334 7.23250697956568 143.021135574547 105.941581907072 2.55491457205806 2.9302397349033 -0.437544845005035 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.43092541423546E+052 -9.10270559495735E+034 -9.05926796132114E+034 -4.34376336362106E+032 0 0 0 0 1 2
270 10443739648.1622 1.44729585389245 7.15866363751976 143.756891821286 106.486586534286 2.52882909005636 2.90032221174953 -0.429653167070434 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.42360185361306E+052 -9.67283265520416E+034 -9.62780635090016E+034 -4.50263043039918E+032 0 0 0 0 1 2
275 10466760432.4638 1.42519425402816 7.08559708999264 144.496199995381 107.034222218801 2.50301801409965 2.87071940577076 -0.421762849142022 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.41631806008031E+052 -1.02707485481922E+035 -1.02240760062714E+035 -4.66725419208289E+032 0 0 0 0 1 2
280 10488333023.9059 1.40343614880535 7.01329624180951 145.239103904604 107.584521410817 2.47747742476913 2.84142682177298 -0.413864490638179 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.40907353573907E+052 -1.08981469341152E+035 -1.08497684504423E+035 -4.83784836728485E+032 0 0 0 0 1 2
285 10508562214.2713 1.38201577074717 6.94175173465677 145.985631868473 108.137505087758 2.45220401619978 2.81244066824899 -0.405953945298873 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.40186794444824E+052 -1.15564641149572E+035 -1.15063178131936E+035 -5.0146301763567E+032 0 0 0 0 1 2
